Algorithm,Function,Dimension,Min,Max,Mean,Median,StdDev,MaxTemp,MinTemp,CoolingDecr,NumIterations,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,2.281587187,11.23869677,5.905719975,6.052177717,1.935055979,5000,0.05,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,4.473995262,32.38075808,12.76476801,10.88997295,5.81380399,5000,0.05,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,2.5761459,24.62754492,9.803308046,9.205140268,4.676055451,10000,1,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,2.621216285,14.0505996,6.933983443,6.963301799,2.234129564,10000,1,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,4.301417265,40.68951017,19.31117232,16.98645294,10.0901454,10000,1,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,3.459450989,22.71648911,8.449359057,8.218443527,3.584977658,10000,0.01,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,1.674581797,7.922403192,5.39302001,5.218160801,1.535479565,10000,0.01,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,5.295578579,44.55445481,19.29605637,19.04115917,7.296062054,10000,0.01,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,4.499021296,35.78970252,10.08752983,9.229345611,5.630134216,10000,0.05,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,1.690822537,8.543609736,5.013141975,5.060108895,1.51747821,10000,0.05,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,3.73601213,44.63566149,17.53957591,17.44696829,9.557297596,10000,0.05,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,2.715368609,11.16789274,6.14542646,5.746202452,2.022006126,5000,0.01,0.98,30,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,2.141244079,17.88844414,6.268141996,5.770891686,2.809955363,3666.666667,0.03,0.976666667,25,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,5,2.484393599,14.05320181,5.835632815,5.532460494,2.202724584,2944.444445,0.043333333,0.971111111,23,,,,,,,,,,,,,,,
Random Search,DeJong2,10,1348.137023,6391.230534,3207.447054,3037.145095,1277.532281,,,,,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,48.67852992,275.8563934,90.95477828,75.49435798,44.1800788,1000,0.01,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,29.61919511,116.6073325,54.34567285,53.08440604,15.30068063,1000,0.01,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,59.08535684,121.5082502,89.93989131,89.07900443,17.88110207,1000,0.01,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,35.87591062,161.8216863,80.74082979,75.39611252,30.12637036,1000,0.05,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,27.92473671,69.8290735,53.38791949,54.13326622,10.42870203,1000,0.05,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,33.75865029,132.0538819,86.56423223,90.70508803,20.98881792,1000,0.05,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,44.35199277,222.6132394,83.14101544,71.23464295,41.57598912,1000,0.1,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,25.41776036,147.5724747,61.31414072,52.93802764,26.27045231,1000,0.1,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,49.97622026,154.0075679,88.46039388,86.9128629,21.99402635,1000,0.1,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,44.61322829,199.2777981,80.88645997,71.95672227,32.05487799,5000,0.1,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,26.1197813,127.6674679,54.11115216,53.92111753,18.25642206,5000,0.1,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,56.80195577,241.8787154,171.8624372,187.4300107,52.16835218,5000,0.1,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,43.56784423,212.5524709,80.91073418,71.5052616,38.30873899,5000,0.01,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,22.82663278,87.34395504,56.73065668,55.85823005,13.12242747,5000,0.01,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,81.96098488,266.9655698,187.617585,189.6174385,51.89164012,5000,0.01,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,27.81725776,237.5767392,85.9131792,77.64131626,41.88054765,5000,0.05,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,32.12375908,81.35936328,57.05950406,58.76988628,13.0548707,5000,0.05,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,80.10520865,267.4888205,181.1234253,181.0997606,47.82639927,5000,0.05,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,30.64338326,187.0507998,99.90126661,89.7604138,38.70553317,10000,1,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,33.43262014,73.09507716,58.3281139,58.29382981,10.09802756,10000,1,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,134.8563302,417.8897163,260.1783294,251.3337925,68.77101334,10000,1,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,32.03809682,362.8952239,89.87688475,72.98053116,59.32300617,10000,0.01,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,37.3611851,106.7156985,57.84893462,55.61018352,15.23167879,10000,0.01,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,136.383915,517.2850059,251.5071736,247.6350869,85.88270448,10000,0.01,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,29.18220527,194.5702796,85.52357163,79.42262273,31.3595294,10000,0.05,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,24.35102106,153.9495605,61.11964372,55.07687808,27.11537599,10000,0.05,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,99.48980394,479.3982669,248.0326829,245.2077624,86.48860863,10000,0.05,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,17.57391146,123.5698899,63.63783977,62.29097224,20.5350783,5000,0.01,0.98,30,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,25.92597462,72.27158262,48.01119578,49.27442282,9.543451675,3666.666667,0.03,0.976666667,25,,,,,,,,,,,,,,,
Simulated Annealing,DeJong2,10,31.22576797,77.58339782,52.2701705,52.35112883,10.22209164,2944.444445,0.043333333,0.971111111,23,,,,,,,,,,,,,,,
Random Search,Schwefel,5,208.5907433,605.5733043,467.9293251,473.1395329,88.98765063,,,,,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,161.4494496,1146.459001,647.8403576,646.950356,243.6893292,1000,0.01,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,178.0465369,892.5670305,506.2320649,499.7178311,177.1258062,1000,0.01,0.98,20,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,287.5958971,596.1625328,430.6473217,442.6389831,80.33749174,1000,0.01,0.99,50,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,371.0536067,1139.063489,736.0451454,726.2844335,173.1409655,1000,0.05,0.95,10,,,,,,,,,,,,,,,
Simulated Annealing,Schwefel,5,281.1116478,774.3139958,533.1670974,513.9658928,142.2022019,1000,0.05,0.98,20,,,,,,,,,,,,,,,
